Time ,Thermistor,Potentiometer,
1209,478,594,
1210,478,595,
1211,477,594,
1212,477,595,
1213,478,595,
1214,478,595,
1215,477,595,
1216,478,595,
1217,478,595,
1218,478,594,
1219,477,594,
1220,478,595,
1221,478,595,
1222,477,594,
1223,478,595,
1224,478,595,
1225,477,594,
1226,478,594,
1227,478,595,
1228,478,594,
1229,478,595,
1230,478,594,
1231,478,595,
1232,478,594,
1233,478,594,
1234,478,595,
1235,477,594,
1236,477,594,
1237,478,595,
1238,478,594,
1239,478,594,
1240,478,594,
1241,478,594,
1242,477,594,
1243,478,594,
1244,478,595,
1245,477,595,
1246,478,594,
1247,478,595,
1248,478,595,
1249,478,594,
1250,478,595,
1251,478,595,
1252,478,595,
1253,478,594,
1254,478,594,
1255,478,594,
1256,477,594,
1257,478,594,
1258,478,595,
1259,478,595,
1260,478,594,
1261,478,595,
1262,478,595,
1263,478,594,
1264,478,594,
1265,478,595,
1266,478,595,
1267,478,595,
1268,478,595,
1269,478,594,
1270,478,595,
1271,478,595,
1272,478,595,
1273,478,594,
1274,478,595,
1275,478,595,
1276,478,594,
1277,478,595,
1278,478,595,
1279,478,595,
1280,478,595,
1281,478,595,
1282,478,595,
1283,478,594,
1284,478,595,
1285,478,595,
1286,478,594,
1287,478,594,
1288,478,595,
1289,478,594,
1290,478,594,
1291,478,595,
1292,478,595,
1293,478,594,
1294,478,594,
1295,478,595,
1296,478,594,
1297,478,594,
1298,478,594,
1299,478,595,
1300,478,594,
1301,478,594,
1302,478,595,
1303,478,595,
1304,478,594,
1305,478,594,
1306,478,594,
1307,478,594,
1308,478,595,
1309,478,595,
1310,478,594,
1311,478,595,
1312,478,595,
1313,478,595,
1314,478,594,
1315,478,595,
1316,478,595,
1317,478,594,
1318,478,595,
1319,478,595,
1320,478,594,
1321,478,594,
1322,478,595,
1323,479,594,
1324,478,594,
1325,479,595,
1326,478,595,
1327,478,594,
1328,479,595,
1329,478,595,
1330,478,594,
1331,478,594,
1332,478,595,
1333,478,595,
1334,478,594,
1335,478,594,
1336,478,595,
1337,478,595,
1338,478,594,
1339,478,595,
1340,478,594,
1341,478,594,
1342,478,595,
1343,478,595,
1344,478,594,
1345,478,594,
1346,479,595,
1347,478,594,
1348,478,595,
1349,478,595,
1350,479,595,
1351,478,594,
1352,479,594,
1353,478,595,
1354,478,594,
1355,478,595,
1356,479,595,
1357,478,595,
1358,478,594,
1359,478,595,
1360,479,595,
1361,478,594,
1362,479,594,
1363,479,594,
1364,478,595,
1365,478,594,
1366,478,595,
1367,478,595,
1368,478,594,
1369,479,595,
1370,478,595,
1371,478,594,
1372,478,594,
1373,478,595,
1374,478,594,
1375,478,594,
1376,479,595,
1377,478,595,
1378,478,594,
1379,479,595,
1380,479,595,
1381,478,594,
1382,478,594,
1383,479,595,
1384,478,595,
1385,478,594,
1386,479,594,
1387,478,595,
1388,478,594,
1389,478,595,
1390,478,595,
1391,478,594,
1392,478,595,
1393,479,595,
1394,479,595,
1395,478,594,
1396,479,595,
1397,478,595,
1398,478,594,
1399,478,594,
1400,479,595,
1401,478,594,
1402,478,594,
1403,479,594,
1404,478,595,
1405,478,594,
1406,479,595,
1407,479,594,
1408,479,595,
1409,478,594,
1410,479,595,
1411,479,595,
1412,478,595,
1413,479,595,
1414,479,595,
1415,478,595,
1416,478,594,
1417,479,595,
1418,478,594,
1419,478,594,
1420,479,595,
1421,479,595,
1422,478,594,
1423,478,595,
1424,479,595,
1425,479,594,
1426,479,594,
1427,479,595,
1428,479,595,
1429,478,594,
1430,479,594,
1431,479,595,
1432,478,594,
1433,478,594,
1434,479,595,
1435,479,595,
1436,478,594,
1437,479,595,
1438,479,595,
1439,478,594,
1440,478,594,
1441,479,595,
1442,479,594,
1443,478,594,
1444,479,595,
1445,479,595,
1446,478,594,
1447,479,595,
1448,478,595,
1449,478,594,
1450,478,594,
1451,479,595,
1452,479,595,
1453,479,594,
1454,479,595,
1455,479,595,
1456,478,594,
1457,478,595,
1458,479,595,
1459,479,594,
1460,479,595,
1461,479,595,
1462,479,595,
1463,478,594,
1464,479,595,
1465,478,595,
1466,478,595,
1467,478,595,
1468,479,595,
1469,478,595,
1470,479,594,
1471,479,594,
1472,479,595,
1473,478,594,
1474,478,595,
1475,479,595,
1476,479,595,
1477,478,594,
1478,479,595,
1479,478,595,
1480,478,594,
1481,479,595,
1482,479,595,
1483,478,594,
1484,478,594,
1485,479,594,
1486,479,594,
1487,478,594,
1488,479,595,
1489,478,595,
1490,478,594,
1491,478,595,
1492,479,595,
1493,479,594,
1494,478,594,
1495,479,595,
1496,478,595,
1497,478,594,
1498,479,595,
1499,479,595,
1500,478,594,
1501,478,594,
1502,479,595,
1503,479,595,
1504,478,594,
1505,479,595,
1506,479,594,
1507,478,594,
1508,478,595,
1509,478,595,
1510,478,594,
1511,478,594,
1512,479,595,
1513,478,595,
1514,478,594,
1515,479,594,
1516,478,595,
1517,478,594,
1518,478,595,
1519,478,594,
1520,478,595,
1521,478,594,
1522,478,595,
1523,478,595,
1524,478,594,
1525,478,595,
1526,478,595,
1527,478,594,
1528,478,594,
1529,478,595,
1530,478,595,
1531,478,594,
1532,479,595,
1533,478,595,
1534,478,595,
1535,478,594,
1536,478,595,
1537,478,595,
1538,478,594,
1539,479,595,
1540,479,595,
1541,478,594,
1542,478,595,
1543,478,595,
1544,478,595,
1545,478,594,
1546,479,595,
1547,478,595,
1548,478,594,
1549,479,595,
1550,479,595,
1551,478,594,
1552,478,594,
1553,479,595,
1554,479,594,
1555,478,594,
1556,479,594,
1557,478,595,
1558,478,594,
1559,478,594,
1560,479,595,
1561,478,595,
1562,478,594,
1563,479,594,
1564,479,595,
1565,478,595,
1566,479,594,
1567,479,595,
1568,478,594,
1569,479,594,
1570,479,595,
1571,479,594,
1572,478,595,
1573,479,595,
1574,479,595,
1575,478,594,
1576,478,594,
1577,479,595,
1578,479,594,
1579,479,594,
1580,479,595,
1581,479,595,
1582,478,594,
1583,479,594,
1584,479,594,
1585,478,594,
1586,479,595,
1587,479,595,
1588,479,595,
1589,478,594,
1590,479,595,
1591,479,595,
1592,478,595,
1593,479,594,
1594,479,595,
1595,479,594,
1596,478,594,
1597,479,595,
1598,479,595,
1599,478,594,
1600,479,594,
1601,479,595,
1602,479,595,
1603,479,594,
1604,479,595,
1605,479,595,
1606,478,594,
1607,479,595,
1608,479,595,
1609,479,594,
1610,478,594,
1611,479,595,
1612,479,594,
1613,478,594,
1614,479,595,
1615,479,595,
1616,479,594,
1617,479,594,
1618,479,595,
1619,478,595,
1620,479,594,
1621,479,595,
1622,479,595,
1623,479,594,
1624,479,595,
1625,479,595,
1626,479,594,
1627,479,594,
1628,479,595,
1629,479,594,
1630,479,594,
1631,479,595,
1632,479,595,
1633,479,594,
1634,479,595,
1635,479,595,
1636,479,595,
1637,479,594,
1638,479,595,
1639,479,595,
1640,479,594,
1641,479,595,
1642,479,595,
1643,479,594,
1644,479,595,
1645,479,595,
1646,479,594,
1647,479,594,
1648,479,595,
1649,479,595,
1650,478,594,
1651,479,594,
1652,479,595,
1653,479,594,
1654,478,594,
1655,479,595,
1656,479,595,
1657,479,594,
1658,479,595,
1659,479,595,
1660,479,594,
1661,479,594,
1662,479,595,
1663,479,594,
1664,479,594,
1665,479,595,
1666,479,595,
1667,479,594,
1668,479,595,
1669,479,595,
1670,479,595,
1671,479,594,
1672,479,595,
1673,479,595,
1674,479,594,
1675,479,595,
1676,479,595,
1677,479,595,
1678,479,594,
1679,479,595,
1680,479,594,
1681,479,594,
1682,480,595,
1683,479,595,
1684,479,594,
1685,479,595,
1686,479,595,
1687,479,594,
1688,479,594,
1689,479,595,
1690,479,595,
1691,479,595,
1692,479,594,
1693,479,594,
1694,479,594,
1695,479,594,
